discontinued 終了した
municipal 市の、市営の
verify 確認する、検証する
courteous 礼儀正しい
scenic 眺めのいい、景色の
correspondence (手紙やメールでの)やり取り
intensive 集中的な
prestigious 権威のある、誉れ高い
notable 注目すべき、有名な
authentic 本物の
disruption 混乱、妨げ
incur (損害や罰金などを)受ける
tentative 仮の
solicit 求める、懇願する
incorporate 取り入れる、組み込む
complement 合う、補完する
withstand 耐える
compromise 妥協点、妥協する
exhausted 疲れ切った
prosperous 反映している、裕福な
quote 提示価格、引用
reluctant 気乗りしない
remedy 改善策、改善する
devise 考案する、立案する
concise 簡潔な
enforce 施行する、実行する
predecessor 前任者、全機種
prominently 目立って、傑出して
adhere 中術に従う、接着する
appraisal 査定、評価
conform 合わせる、一致する
constraint 制約
distraction 気を散らすもの
